사용월,호선명,승차승객수,하차승객수
23-Mar,1호선,1572966,1511261
23-Mar,1호선,777741,781161
23-Mar,1호선,1149447,1122426
23-Mar,1호선,855518,778067
23-Mar,1호선,779312,769912
23-Mar,1호선,367711,358628
23-Mar,1호선,430145,414139
23-Mar,1호선,546861,557942
23-Mar,1호선,641351,632679
23-Mar,1호선,322852,335714
23-Mar,2호선,735893,693116
23-Mar,2호선,1367295,1397904
23-Mar,2호선,712575,705609
23-Mar,2호선,413070,418749
23-Mar,2호선,439779,496954
23-Mar,2호선,452027,466673
23-Mar,2호선,439474,421740
23-Mar,2호선,519711,442984
23-Mar,2호선,409897,465856
23-Mar,2호선,695749,735368
23-Mar,2호선,1165085,1286995
23-Mar,2호선,1184555,1242410
23-Mar,2호선,730079,711145
23-Mar,2호선,975197,917610
23-Mar,2호선,448161,436982
23-Mar,2호선,2319115,2296822
23-Mar,2호선,698415,692758
23-Mar,2호선,265240,282219
23-Mar,2호선,1591452,1604744
23-Mar,2호선,1606268,1419533
23-Mar,2호선,1456063,1669535
23-Mar,2호선,2390276,2300090
23-Mar,2호선,978663,1125384
23-Mar,2호선,665392,637978
23-Mar,2호선,573634,595045
23-Mar,2호선,1244962,1373260
23-Mar,2호선,869182,836263
23-Mar,2호선,1489244,1446589
23-Mar,2호선,734858,684379
23-Mar,2호선,1748705,1687953
23-Mar,2호선,792969,768855
23-Mar,2호선,1742597,1728125
23-Mar,2호선,756488,773760
23-Mar,2호선,1533848,1516826
23-Mar,2호선,650577,672716
23-Mar,2호선,642662,663417
23-Mar,2호선,581118,669841
23-Mar,2호선,1007188,1099853
23-Mar,2호선,2131455,2266572
23-Mar,2호선,1237451,1247478
23-Mar,2호선,561422,608444
23-Mar,2호선,339992,320743
23-Mar,2호선,301115,320641
23-Mar,2호선,98806,101576
23-Mar,2호선,51994,56528
23-Mar,2호선,121475,119823
23-Mar,2호선,38588,41496
23-Mar,2호선,216778,226005
23-Mar,2호선,319923,329588
23-Mar,2호선,75134,73982
23-Mar,3호선,193244,189520
23-Mar,3호선,654392,636692
23-Mar,3호선,1089735,1034431
23-Mar,3호선,515681,559126
23-Mar,3호선,483569,436350
23-Mar,3호선,564080,539532
23-Mar,3호선,132976,132536
23-Mar,3호선,238606,250170
23-Mar,3호선,786203,797147
23-Mar,3호선,812177,854913
23-Mar,3호선,307012,366069
23-Mar,3호선,335716,339316
23-Mar,3호선,48,0
23-Mar,3호선,327935,372373
23-Mar,3호선,401263,386330
23-Mar,3호선,248808,228681
23-Mar,3호선,281818,285307
23-Mar,3호선,965489,1044049
23-Mar,3호선,877179,913873
23-Mar,3호선,154638,146660
23-Mar,3호선,1473534,1413353
23-Mar,3호선,457627,294690
23-Mar,3호선,925992,941603
23-Mar,3호선,1107763,1205383
23-Mar,3호선,365837,352899
23-Mar,3호선,162333,168696
23-Mar,3호선,370132,365388
23-Mar,3호선,92047,95940
23-Mar,3호선,316356,296556
23-Mar,3호선,326992,313567
23-Mar,3호선,567993,574587
23-Mar,3호선,277052,270647
23-Mar,3호선,219646,220167
23-Mar,3호선,193481,176962
23-Mar,4호선,288254,256253
23-Mar,4호선,595099,555347
23-Mar,4호선,593438,672025
23-Mar,4호선,784766,824266
23-Mar,4호선,894900,829759
23-Mar,4호선,1065357,1067447
23-Mar,4호선,479060,465133
23-Mar,4호선,834785,816872
23-Mar,4호선,688519,688376
23-Mar,4호선,690141,659541
23-Mar,4호선,460486,445963
23-Mar,4호선,1141350,1145359
23-Mar,4호선,616191,629761
23-Mar,4호선,559244,486015
23-Mar,4호선,894476,913148
23-Mar,4호선,974799,1042675
23-Mar,4호선,805371,838796
23-Mar,4호선,368787,632648
23-Mar,4호선,479071,458962
23-Mar,4호선,177988,205542
23-Mar,4호선,550839,583225
23-Mar,4호선,274657,304088
23-Mar,4호선,47402,51859
23-Mar,4호선,588965,636075
23-Mar,4호선,846413,749902
23-Mar,4호선,43914,36002
23-Mar,5호선,209213,199752
23-Mar,5호선,174590,167666
23-Mar,5호선,233214,224522
23-Mar,5호선,196953,185522
23-Mar,5호선,318837,322571
23-Mar,5호선,636012,662081
23-Mar,5호선,451187,440934
23-Mar,5호선,888535,828256
23-Mar,5호선,879709,843867
23-Mar,5호선,410109,338734
23-Mar,5호선,506525,542981
23-Mar,5호선,665157,708231
23-Mar,5호선,219539,214601
23-Mar,5호선,126115,124412
23-Mar,5호선,335453,345564
23-Mar,5호선,134216,140640
23-Mar,5호선,822813,866553
23-Mar,5호선,477301,532184
23-Mar,5호선,425876,434148
23-Mar,5호선,428915,446925
23-Mar,5호선,203385,201065
23-Mar,5호선,135549,136893
23-Mar,5호선,585124,591214
23-Mar,5호선,952654,1007087
23-Mar,5호선,451668,437997
23-Mar,5호선,191990,197103
23-Mar,5호선,91915,106044
23-Mar,5호선,119082,110497
23-Mar,5호선,195949,205729
23-Mar,5호선,248013,220465
23-Mar,5호선,138850,160759
23-Mar,5호선,182391,169982
23-Mar,5호선,488990,446377
23-Mar,5호선,567447,560907
23-Mar,5호선,361162,398807
23-Mar,5호선,479432,462514
23-Mar,5호선,434821,407234
23-Mar,5호선,586586,581597
23-Mar,5호선,554392,534089
23-Mar,5호선,245279,255163
23-Mar,5호선,297131,281826
23-Mar,5호선,277100,284336
23-Mar,5호선,306270,301487
23-Mar,5호선,440577,415859
23-Mar,5호선,274636,274098
23-Mar,5호선,168260,153629
23-Mar,5호선,224018,229346
23-Mar,5호선,110073,109287
23-Mar,5호선,199840,207961
23-Mar,5호선,313111,300647
23-Mar,5호선,234809,224577
23-Mar,5호선,166197,151527
23-Mar,5호선,525409,535760
23-Mar,5호선,135035,134609
23-Mar,5호선,243437,236435
23-Mar,5호선,203549,194539
23-Mar,6호선,543337,540480
23-Mar,6호선,113676,134072
23-Mar,6호선,142763,136754
23-Mar,6호선,83065,89493
23-Mar,6호선,23,0
23-Mar,6호선,246596,182675
23-Mar,6호선,399284,371891
23-Mar,6호선,313076,312249
23-Mar,6호선,440806,471046
23-Mar,6호선,174469,197628
23-Mar,6호선,438026,390165
23-Mar,6호선,456775,487759
23-Mar,6호선,439078,429443
23-Mar,6호선,317303,366926
23-Mar,6호선,279778,268672
23-Mar,6호선,294569,306696
23-Mar,6호선,560957,545337
23-Mar,6호선,232050,219615
23-Mar,6호선,229039,197743
23-Mar,6호선,160619,159939
23-Mar,6호선,360240,371591
23-Mar,6호선,313250,372385
23-Mar,6호선,66613,67298
23-Mar,6호선,112371,111561
23-Mar,6호선,115761,115284
23-Mar,6호선,252643,257357
23-Mar,6호선,268868,272272
23-Mar,6호선,113586,99491
23-Mar,6호선,244564,224159
23-Mar,6호선,459640,466296
23-Mar,6호선,288586,281010
23-Mar,6호선,399955,385308
23-Mar,6호선,204243,189937
23-Mar,6호선,304238,282754
23-Mar,6호선,386943,403497
23-Mar,6호선,173688,200522
23-Mar,6호선,387815,301713
23-Mar,6호선,271416,256296
23-Mar,6호선,9,0
23-Mar,7호선,78186,34985
23-Mar,7호선,285848,342724
23-Mar,7호선,399757,395334
23-Mar,7호선,403157,375368
23-Mar,7호선,621018,654079
23-Mar,7호선,456419,415894
23-Mar,7호선,563246,530259
23-Mar,7호선,390877,383891
23-Mar,7호선,299402,282471
23-Mar,7호선,315638,310014
23-Mar,7호선,330950,325393
23-Mar,7호선,522928,502750
23-Mar,7호선,493786,473645
23-Mar,7호선,504232,501492
23-Mar,7호선,183021,180944
23-Mar,7호선,331297,308735
23-Mar,7호선,466484,362670
23-Mar,7호선,555323,571520
23-Mar,7호선,432705,455568
23-Mar,7호선,327150,316250
23-Mar,7호선,578013,634622
23-Mar,7호선,489348,542421
23-Mar,7호선,690935,732796
23-Mar,7호선,534703,552862
23-Mar,7호선,191295,185256
23-Mar,7호선,532682,433561
23-Mar,7호선,438771,447014
23-Mar,7호선,484999,466463
23-Mar,7호선,356375,331003
23-Mar,7호선,492950,499994
23-Mar,7호선,389311,383817
23-Mar,7호선,278423,273055
23-Mar,7호선,463405,440237
23-Mar,7호선,217007,223711
23-Mar,7호선,352035,331180
23-Mar,7호선,270191,271159
23-Mar,7호선,447562,466346
23-Mar,7호선,1217092,1220672
23-Mar,7호선,653494,661139
23-Mar,7호선,654457,644697
23-Mar,7호선,347937,330396
23-Mar,7호선,319237,297576
23-Mar,7호선,1,0
23-Mar,7호선,2,0
23-Mar,7호선,3,0
23-Mar,7호선,1,0
23-Mar,7호선,1,0
23-Mar,8호선,572890,506431
23-Mar,8호선,455276,522255
23-Mar,8호선,313835,322545
23-Mar,8호선,199536,207803
23-Mar,8호선,478691,555733
23-Mar,8호선,241595,286857
23-Mar,8호선,274553,268278
23-Mar,8호선,234197,258715
23-Mar,8호선,603630,632984
23-Mar,8호선,537433,503965
23-Mar,8호선,298287,248778
23-Mar,8호선,167981,168429
23-Mar,8호선,456192,419085
23-Mar,8호선,393047,371977
23-Mar,8호선,160640,168228
23-Mar,8호선,170298,158604
23-Mar,8호선,161202,129777
23-Mar,8호선,203684,210517
23-Mar,9호선,83850,54124
23-Mar,9호선,224108,318947
23-Mar,9호선,89122,95132
23-Mar,9호선,211815,205791
23-Mar,9호선,385111,377177
23-Mar,9호선,296480,301327
23-Mar,9호선,667313,647898
23-Mar,9호선,218333,206724
23-Mar,9호선,348011,330212
23-Mar,9호선,540277,521469
23-Mar,9호선,130789,113226
23-Mar,9호선,253557,237852
23-Mar,9호선,586123,583872
23-Mar,9호선,469943,487278
23-Mar,9호선,822679,795952
23-Mar,9호선,185262,185182
23-Mar,9호선,789231,773903
23-Mar,9호선,146689,120697
23-Mar,9호선,315433,316792
23-Mar,9호선,60517,49537
23-Mar,9호선,31396,32629
23-Mar,9호선,117129,117091
23-Mar,9호선,449236,608255
23-Mar,9호선,116049,112378
23-Mar,9호선,935553,918197
23-Mar,9호선2~3단계,316309,322479
23-Mar,9호선2~3단계,288235,317983
23-Mar,9호선2~3단계,218207,224676
23-Mar,9호선2~3단계,596684,617562
23-Mar,9호선2~3단계,143218,140282
23-Mar,9호선2~3단계,222683,210721
23-Mar,9호선2~3단계,206022,199745
23-Mar,9호선2~3단계,284492,255729
23-Mar,9호선2~3단계,165156,175870
23-Mar,9호선2~3단계,84795,76332
23-Mar,9호선2~3단계,282654,291602
23-Mar,9호선2~3단계,36234,34849
23-Mar,9호선2~3단계,337912,297886
