호션역,지하철역,승차승객수,하차승객수
1호선,서울역,1572966,1511261
1호선,시청,777741,781161
1호선,종각,1149447,1122426
1호선,종로3가,855518,778067
1호선,종로5가,779312,769912
1호선,동대문,367711,358628
1호선,신설동,430145,414139
1호선,제기동,546861,557942
1호선,청량리(서울시립대입구),641351,632679
1호선,동묘앞,322852,335714
2호선,시청,735893,693116
2호선,을지로입구,1367295,1397904
2호선,을지로3가,712575,705609
2호선,을지로4가,413070,418749
2호선,동대문역사문화공원(DDP),439779,496954
2호선,신당,452027,466673
2호선,상왕십리,439474,421740
2호선,왕십리(성동구청),519711,442984
2호선,한양대,409897,465856
2호선,뚝섬,695749,735368
2호선,성수,1165085,1286995
2호선,건대입구,1184555,1242410
2호선,구의(광진구청),730079,711145
2호선,강변(동서울터미널),975197,917610
2호선,잠실나루,448161,436982
2호선,잠실(송파구청),2319115,2296822
2호선,잠실새내,698415,692758
2호선,종합운동장,265240,282219
2호선,삼성(무역센터),1591452,1604744
2호선,선릉,1606268,1419533
2호선,역삼,1456063,1669535
2호선,강남,2390276,2300090
2호선,교대(법원.검찰청),978663,1125384
2호선,서초,665392,637978
2호선,방배,573634,595045
2호선,사당,1244962,1373260
2호선,낙성대(강감찬),869182,836263
2호선,서울대입구(관악구청),1489244,1446589
2호선,봉천,734858,684379
2호선,신림,1748705,1687953
2호선,신대방,792969,768855
2호선,구로디지털단지,1742597,1728125
2호선,대림(구로구청),756488,773760
2호선,신도림,1533848,1516826
2호선,문래,650577,672716
2호선,영등포구청,642662,663417
2호선,당산,581118,669841
2호선,합정,1007188,1099853
2호선,홍대입구,2131455,2266572
2호선,신촌,1237451,1247478
2호선,이대,561422,608444
2호선,아현,339992,320743
2호선,충정로(경기대입구),301115,320641
2호선,용답,98806,101576
2호선,신답,51994,56528
2호선,신설동,121475,119823
2호선,도림천,38588,41496
2호선,양천구청,216778,226005
2호선,신정네거리,319923,329588
2호선,용두(동대문구청),75134,73982
3호선,지축,193244,189520
3호선,구파발,654392,636692
3호선,연신내,1089735,1034431
3호선,불광,515681,559126
3호선,녹번,483569,436350
3호선,홍제,564080,539532
3호선,무악재,132976,132536
3호선,독립문,238606,250170
3호선,경복궁(정부서울청사),786203,797147
3호선,안국,812177,854913
3호선,종로3가,307012,366069
3호선,을지로3가,335716,339316
3호선,충무로,48,0
3호선,동대입구,327935,372373
3호선,약수,401263,386330
3호선,금호,248808,228681
3호선,옥수,281818,285307
3호선,압구정,965489,1044049
3호선,신사,877179,913873
3호선,잠원,154638,146660
3호선,고속터미널,1473534,1413353
3호선,교대(법원.검찰청),457627,294690
3호선,남부터미널(예술의전당),925992,941603
3호선,양재(서초구청),1107763,1205383
3호선,매봉,365837,352899
3호선,도곡,162333,168696
3호선,대치,370132,365388
3호선,학여울,92047,95940
3호선,대청,316356,296556
3호선,일원,326992,313567
3호선,수서,567993,574587
3호선,가락시장,277052,270647
3호선,경찰병원,219646,220167
3호선,오금,193481,176962
4호선,당고개,288254,256253
4호선,상계,595099,555347
4호선,노원,593438,672025
4호선,창동,784766,824266
4호선,쌍문,894900,829759
4호선,수유(강북구청),1065357,1067447
4호선,미아(서울사이버대학),479060,465133
4호선,미아사거리,834785,816872
4호선,길음,688519,688376
4호선,성신여대입구(돈암),690141,659541
4호선,한성대입구(삼선교),460486,445963
4호선,혜화,1141350,1145359
4호선,동대문,616191,629761
4호선,동대문역사문화공원(DDP),559244,486015
4호선,충무로,894476,913148
4호선,명동,974799,1042675
4호선,회현(남대문시장),805371,838796
4호선,서울역,368787,632648
4호선,숙대입구(갈월),479071,458962
4호선,삼각지,177988,205542
4호선,신용산,550839,583225
4호선,이촌(국립중앙박물관),274657,304088
4호선,동작(현충원),47402,51859
4호선,총신대입구(이수),588965,636075
4호선,사당,846413,749902
4호선,남태령,43914,36002
